MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,HeatingQC,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,WoodDeckSF,OpenPorchSF,MoSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalBaths,Remodeled,Age when Sold
60,RL,65.0,8450,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Ex,Gd,8,0,Attchd,2003.0,RFn,2,TA,0,61,2,WD,Normal,208500,4276,3.5,No,5
20,RL,80.0,9600,Reg,Lvl,FR2,Veenker,Feedr,1Fam,1Story,6,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Ex,TA,6,1,Attchd,1976.0,RFn,2,TA,298,0,5,WD,Normal,181500,3786,2.5,No,31
60,RL,68.0,11250,IR1,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Ex,Gd,6,1,Attchd,2001.0,RFn,2,TA,0,42,9,WD,Normal,223500,4492,3.5,Yes,6
70,RL,60.0,9550,IR1,Lvl,Corner,Crawfor,Norm,1Fam,2Story,7,Gable,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,Gd,Gd,7,1,Detchd,1998.0,Unf,3,TA,0,35,2,WD,Abnorml,140000,4190,2.0,Yes,36
60,RL,84.0,14260,IR1,Lvl,FR2,NoRidge,Norm,1Fam,2Story,8,Gable,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Ex,Gd,9,1,Attchd,2000.0,RFn,3,TA,192,84,12,WD,Normal,250000,5541,3.5,No,8
50,RL,85.0,14115,IR1,Lvl,Inside,Mitchel,Norm,1Fam,1.5Fin,5,Gable,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Ex,TA,5,0,Attchd,1993.0,Unf,2,TA,40,30,10,WD,Normal,143000,3520,2.5,Yes,14
20,RL,75.0,10084,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,Gable,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,Gd,7,1,Attchd,2004.0,RFn,2,TA,255,57,8,WD,Normal,307000,5074,3.0,Yes,2
60,RL,69.0,10382,IR1,Lvl,Corner,NWAmes,PosN,1Fam,2Story,7,Gable,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Ex,TA,7,2,Attchd,1973.0,RFn,2,TA,235,204,11,WD,Normal,200000,5287,3.5,No,36
50,RM,51.0,6120,Reg,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,7,Gable,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,Gd,TA,8,2,Detchd,1931.0,Unf,2,Fa,90,0,4,WD,Abnorml,129900,4500,2.0,Yes,58
190,RL,50.0,7420,Reg,Lvl,Corner,BrkSide,Artery,2fmCon,1.5Unf,5,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Ex,TA,5,2,Attchd,1939.0,RFn,1,Gd,0,4,1,WD,Normal,118000,3145,2.0,Yes,58
20,RL,70.0,11200,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,Hip,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Ex,TA,5,0,Detchd,1965.0,Unf,1,TA,0,0,2,WD,Normal,129500,3120,2.0,No,43
60,RL,85.0,11924,IR1,Lvl,Inside,NridgHt,Norm,1Fam,2Story,9,Hip,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,Ex,11,2,BuiltIn,2005.0,Fin,3,TA,147,21,7,New,Partial,345000,5823,4.0,Yes,0
20,RL,69.0,12968,IR2,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,Hip,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,4,0,Detchd,1962.0,Unf,1,TA,140,0,9,WD,Normal,144000,2736,2.0,No,46
20,RL,91.0,10652,IR1,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Ex,Gd,7,1,Attchd,2006.0,RFn,3,TA,160,33,8,New,Partial,279500,4482,2.0,Yes,0
